رقم  السجل,حالة السجل,انشاء السجل,انتهاء السجل,رقم الرخصة,حالة الرخصة,انشاء الرخصة,انتهاء الرخصة,اسم المنشاة,التصنيف الرئيسي,التصنيف الفرعي,ص.ب,هاتف,البلدية,المنطقة,رقم الشارع,وصف الشارع,رقم المبنى,الحي,اسم الحي,كود النشاط,اسم النشاط
81884,نشط,29-MAR-16,28-MAR-22,53218,معلق,,05-MAR-22,الديوان لتاجير السيارات,تجاري,مكتب تجاري,,+974502141898,بلدية الريان,53,790,ام الدوم,194,65,الريان الجديد,4922901,تاجير السيارات بدون سائق
125901,نشط,19-NOV-18,18-NOV-21,162916,نشط,22-NOV-18,16-NOV-21,الجبل الأبيض اللموزين,تجاري,مكتب تجاري,,+974,بلدية الريان,53,627,ابن الحاجب,23,88,معيذر,4921211,خدمة الليموزين
99158,نشط,24-MAY-17,19-NOV-21,138158,معلق,12-JUL-17,02-JAN-22,الصالحية لليموزين,تجاري,مكتب تجاري,91929,+97466520444,بلدية الريان,55,900,الفروسيه,19,88,معيذر,4921211,خدمة الليموزين
36301,نشط,04-JUL-07,03-JUL-22,50145,نشط,,06-FEB-22,حفلة لتاجير السيارات,تجاري,محل تجارى,,+974,بلدية الدوحة,41,250,الدائري الرابع,222,42,نعيجة,4922901,تاجير السيارات بدون سائق
121143,نشط,08-AUG-18,03-FEB-22,174401,نشط,18-JUL-19,08-JAN-22,الخط المباشر لخدمات الليموزين,تجاري,مكتب تجاري,,+974,بلدية الريان,55,180,عثمان بن عفان,57,84,العزيزية,4921211,خدمة الليموزين
53920/1,منتهية,15-MAY-12,15-JAN-18,87163,معلق,,01-JUL-17,الحسام لتاجير السيارات,تجاري,مكتب تجاري,,,بلدية الدوحة,39,343,343,,,,4922901,تاجير السيارات بدون سائق
45892/1,نشط,02-OCT-11,09-NOV-21,83379,نشط,,12-DEC-21,بروفايل ليموزين سيرفيزز,تجاري,مكتب تجاري,,+974,بلدية الدوحة,34,362,الجزيره العربيه,138,32,مدينة خليفة الجنوبية,4922901,تاجير السيارات بدون سائق
60112,نشط,15-APR-13,11-OCT-21,92351,نشط,,01-NOV-21,ابو هباش ليموزين,تجاري,مكتب تجاري,,+974,بلدية الريان,55,280,الفروسيه,284,88,معيذر,4921211,خدمة الليموزين
121030,نشط,06-AUG-18,01-FEB-22,156262,نشط,08-AUG-18,29-JAN-22,عيوش ليموزين,تجاري,مكتب تجاري,,,بلدية الخور و الذخيرة,74,880,,14,269,الخور,4921211,خدمة الليموزين
97172,نشط,16-APR-17,12-OCT-21,141688,نشط,19-OCT-17,13-OCT-21,معرض دوحة ميجنا للسيارات و النقليات,تجاري,معرض سيارات,,+97455300245,بلدية الشيحانية,82,358,روضة راشد,42,492,روضة راشد,4922901,تاجير السيارات بدون سائق
96462,نشط,03-APR-17,29-SEP-21,134586,معلق,19-APR-17,10-OCT-21,غولف كونفيدانس ليموزين,تجاري,مكتب تجاري,,+974,بلدية الريان,53,615,التوبة,63,65,الريان الجديد,4921211,خدمة الليموزين
95137,نشط,12-MAR-17,07-SEP-21,134178,معلق,11-APR-17,02-OCT-21,البوست ليموزين,تجاري,مكتب تجاري,,+974,بلدية الشمال,78,820,ابو الظلوف,95,396,ابا الظلوف,4921211,خدمة الليموزين
139515,منتهية,04-NOV-19,03-NOV-20,100489,معلق,,21-DEC-20,لاكشري ليموزين,تجاري,مكتب تجاري,,+974,بلدية الريان,56,900,الخليفات,41,95,عين خالد,4921211,خدمة الليموزين
